full_address,confidence,type,org_name1,org_name2,street_num,street_name,suburb,neighbourhood,pincode,country
"Maxwell, Spring Street, Tanjong Pagar, Chinatown, Singapore 050005, Singapore",9,others,,Maxwell,1,Spring Street,Tanjong Pagar,Chinatown,50005,Singapore
"Eight Treasures Vegetarian, 282A South Bridge Road, Tanjong Pagar, Chinatown, Singapore 058837, Singapore",9,restaurant,,Eight Treasures Vegetarian,282A,South Bridge Road,Tanjong Pagar,Chinatown,58837,Singapore
"Buddha Tooth Relic Temple, 288 South Bridge Road, Tanjong Pagar, Chinatown, Singapore 058840, Singapore",9,others,,Buddha Tooth Relic Temple,288,South Bridge Road,Tanjong Pagar,Chinatown,58840,Singapore
"Buddha Tooth Relic Temple, 288 South Bridge Road, Tanjong Pagar, Chinatown, Singapore 058840, Singapore",9,others,,Buddha Tooth Relic Temple,288,South Bridge Road,Tanjong Pagar,Chinatown,58840,Singapore
"35 Erskine Road, Tanjong Pagar, Chinatown, Singapore 069333, Singapore",10,building,,Buddha Tooth Relic Temple,35,Erskine Road,Tanjong Pagar,Chinatown,69333,Singapore
"297 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Buddha Tooth Relic Temple,297,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"295 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Buddha Tooth Relic Temple,295,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"293 South Bridge Road, City Hall, Clarke Quay, Singapore 058837, Singapore",10,building,,Buddha Tooth Relic Temple,293,South Bridge Road,City Hall,Clarke Quay,58837,Singapore
"291 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Buddha Tooth Relic Temple,291,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"289 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Buddha Tooth Relic Temple,289,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Nam Cheong Pawnshop, 287 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Nam Cheong Pawnshop,287,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"285 South Bridge Road, City Hall, Clarke Quay, Singapore 058833, Singapore",10,building,,Nam Cheong Pawnshop,285,South Bridge Road,City Hall,Clarke Quay,58833,Singapore
"283 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Nam Cheong Pawnshop,283,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Hygeia, Ann Siang Hill, Tanjong Pagar, Chinatown, Singapore 069784, Singapore",9,others,,Hygeia,283,Ann Siang Hill,Tanjong Pagar,Chinatown,69784,Singapore
"281 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Hygeia,281,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"279 South Bridge Road, City Hall, Clarke Quay, Singapore 058828, Singapore",10,building,,Hygeia,279,South Bridge Road,City Hall,Clarke Quay,58828,Singapore
"277 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Hygeia,277,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"275 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Hygeia,275,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"271 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Hygeia,271,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"269 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Hygeia,269,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"267 South Bridge Road, City Hall, Clarke Quay, Singapore 058816, Singapore",10,building,,Hygeia,267,South Bridge Road,City Hall,Clarke Quay,58816,Singapore
"265 South Bridge Road, City Hall, Clarke Quay, Singapore 058814, Singapore",10,building,,Hygeia,265,South Bridge Road,City Hall,Clarke Quay,58814,Singapore
"Afond Boutique Soa, South Bridge Road, Raffles Place, Chinatown, Singapore 058778, Singapore",9,others,,Afond Boutique Soa,265,South Bridge Road,Raffles Place,Chinatown,58778,Singapore
"263 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Afond Boutique Soa,263,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Afond Boutique Soa, South Bridge Road, Raffles Place, Chinatown, Singapore 058778, Singapore",9,others,,Afond Boutique Soa,263,South Bridge Road,Raffles Place,Chinatown,58778,Singapore
"Temple Street, Tanjong Pagar, Chinatown, Singapore 058803, Singapore",9,road,,Afond Boutique Soa,263,Temple Street,Tanjong Pagar,Chinatown,58803,Singapore
"D16, 244 South Bridge Road, Raffles Place, Chinatown, Singapore 058778, Singapore",9,others,,D16,244,South Bridge Road,Raffles Place,Chinatown,58778,Singapore
"Sri Mariamman Temple, 244 South Bridge Road, Raffles Place, Chinatown, Singapore 058793, Singapore",9,others,,Sri Mariamman Temple,244,South Bridge Road,Raffles Place,Chinatown,58793,Singapore
"Sri Mariamman Temple, 244 South Bridge Road, Raffles Place, Chinatown, Singapore 058793, Singapore",9,others,,Sri Mariamman Temple,244,South Bridge Road,Raffles Place,Chinatown,58793,Singapore
" Tanjong Pagar, Chinatown, Singapore 59432, Singapore",9,others,,Sri Mariamman Temple,244,South Bridge Road,Tanjong Pagar,Chinatown,59432,Singapore
"Chinese Furniture, 228 South Bridge Road, Raffles Place, Chinatown, Singapore 058778, Singapore",9,others,,Chinese Furniture,228,South Bridge Road,Raffles Place,Chinatown,58778,Singapore
"Masjid Jamae Mosque, 218 South Bridge Road, Raffles Place, Chinatown, Singapore 058778, Singapore",9,others,,Masjid Jamae Mosque,218,South Bridge Road,Raffles Place,Chinatown,58778,Singapore
"Taj Authentic Indian Cuisine, 214 South Bridge Road, Raffles Place, Chinatown, Singapore 058763, Singapore",9,restaurant,,Taj Authentic Indian Cuisine,214,South Bridge Road,Raffles Place,Chinatown,58763,Singapore
"Small Seaf and BBQ, South Bridge Road, Raffles Place, Chinatown, Singapore 058763, Singapore",9,restaurant,,Small Seaf and BBQ,214,South Bridge Road,Raffles Place,Chinatown,58763,Singapore
"The Southbridge Hotel, 202;210 South Bridge Road, City Hall, Clarke Quay, Singapore 058759, Singapore",9,others,,The Southbridge Hotel,202;210,South Bridge Road,City Hall,Clarke Quay,58759,Singapore
"Small Seaf and BBQ, South Bridge Road, Raffles Place, Chinatown, Singapore 058763, Singapore",9,restaurant,,Small Seaf and BBQ,202;210,South Bridge Road,Raffles Place,Chinatown,58763,Singapore
"Kenko, South Bridge Road, Raffles Place, Chinatown, Singapore 058763, Singapore",9,road,,Kenko,202;210,South Bridge Road,Raffles Place,Chinatown,58763,Singapore
"199 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,South Bridge Road,Kenko,199,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Marsh & McLennan Centre, 18 Cross Street, Raffles Place, Chinatown, Singapore 048423, Singapore",10,building,,Marsh & McLennan Centre,18,Cross Street,Raffles Place,Chinatown,48423,Singapore
"199 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,,Marsh & McLennan Centre,199,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"China Square Central, Capri by Fraser, Chin Chew Street, Raffles Place, Chinatown, Singapore 048421, Singapore",9,others,China Square Central,Capri by Fraser,18,Chin Chew Street,Raffles Place,Chinatown,48421,Singapore
"Mouth Restaurant, 22 Cross Street, Raffles Place, Chinatown, Singapore 048421, Singapore",9,restaurant,China Square Central,Mouth Restaurant,22,Cross Street,Raffles Place,Chinatown,48421,Singapore
"Wang Dae Bok Korean BBQ Restaurant, 22 Cross Street, Raffles Place, Chinatown, Singapore 048421, Singapore",9,restaurant,China Square Central,Wang Dae Bok Korean BBQ Restaurant,22,Cross Street,Raffles Place,Chinatown,48421,Singapore
"China Square Central, Toast Box, Nankin Street, Raffles Place, Chinatown, Singapore 048421, Singapore",9,others,China Square Central,Toast Box,22,Nankin Street,Raffles Place,Chinatown,48421,Singapore
"Spectacle Culture, South Bridge Road, Raffles Place, Chinatown, Singapore 58727, Singapore",9,others,China Square Central,Spectacle Culture,22,South Bridge Road,Raffles Place,Chinatown,58727,Singapore
"MarVen, South Bridge Road, Raffles Place, Chinatown, Singapore 58727, Singapore",9,others,China Square Central,MarVen,22,South Bridge Road,Raffles Place,Chinatown,58727,Singapore
"Sparklers', South Bridge Road, Raffles Place, Chinatown, Singapore 58727, Singapore",9,others,China Square Central,Sparklers',22,South Bridge Road,Raffles Place,Chinatown,58727,Singapore
"Hokien Street, Raffles Place, Chinatown, Singapore 058727, Singapore",9,road,China Square Central,Sparklers',22,Hokien Street,Raffles Place,Chinatown,58727,Singapore
"Great Eastern Centre, 1 Pickering Street, Raffles Place, Chinatown, Singapore 048659, Singapore",10,building,China Square Central,Great Eastern Centre,1,Pickering Street,Raffles Place,Chinatown,48659,Singapore
"fiv 五 square, 1 Pickering Street, Raffles Place, Chinatown, Singapore 48659, Singapore",9,restaurant,China Square Central,fiv 五 square,1,Pickering Street,Raffles Place,Chinatown,48659,Singapore
"One George Street, 1 George Street, Raffles Place, Chinatown, Singapore 049145, Singapore",10,building,China Square Central,One George Street,1,George Street,Raffles Place,Chinatown,49145,Singapore
"Starbucks, 1 South Bridge Road, Raffles Place, Chinatown, Singapore 049145, Singapore",9,others,China Square Central,Starbucks,1,South Bridge Road,Raffles Place,Chinatown,49145,Singapore
"South Canal Road, Raffles Place, Clarke Quay, Singapore 058710, Singapore",9,road,China Square Central,Starbucks,1,South Canal Road,Raffles Place,Clarke Quay,58710,Singapore
"South Bridge Road, Raffles Place, Clarke Quay, Singapore 058710, Singapore",9,road,China Square Central,Starbucks,1,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
"21 North Canal Road, Raffles Place, Clarke Quay, Singapore 058710, Singapore",10,building,South Bridge Road,Starbucks,21,North Canal Road,Raffles Place,Clarke Quay,58710,Singapore
"Golden Castle Building, 80 South Bridge Road, Raffles Place, Clarke Quay, Singapore 058710, Singapore",10,building,China Square Central,Golden Castle Building,80,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
"22 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Golden Castle Building,22,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"83 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Golden Castle Building,83,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"81 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Golden Castle Building,81,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Sun Spa, South Bridge Road, Raffles Place, Clarke Quay, Singapore 058710, Singapore",9,others,China Square Central,Sun Spa,80,South Bridge Road,Raffles Place,Clarke Quay,58710,Singapore
"76 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Sun Spa,76,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Wong Shee Fun Building, 74 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Wong Shee Fun Building,74,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"MMI Building, 72 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,72,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"70 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,70,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"46 Hongkong Street, Raffles Place, Clarke Quay, Singapore 059667, Singapore",10,building,China Square Central,MMI Building,46,Hongkong Street,Raffles Place,Clarke Quay,59667,Singapore
"5 Hongkong Street, Raffles Place, Clarke Quay, Singapore 059648, Singapore",10,building,China Square Central,MMI Building,5,Hongkong Street,Raffles Place,Clarke Quay,59648,Singapore
"66 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,66,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"64 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,64,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"62 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,62,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"58 South Bridge Road, City Hall, Clarke Quay, Singapore 058689, Singapore",10,building,China Square Central,MMI Building,58,South Bridge Road,City Hall,Clarke Quay,58689,Singapore
"56 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,56,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"54 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,MMI Building,54,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Legendary Bak Kut Teh, Carpenter Street, Raffles Place, Clarke Quay, Singapore 058676, Singapore",9,others,China Square Central,Legendary Bak Kut Teh,54,Carpenter Street,Raffles Place,Clarke Quay,58676,Singapore
"Chai Ming Optical Pte Ltd, 50 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,Legendary Bak Kut Teh,Chai Ming Optical Pte Ltd,50,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Legendary Bak Kut Teh, Carpenter Street, Raffles Place, Clarke Quay, Singapore 058676, Singapore",9,others,China Square Central,Legendary Bak Kut Teh,50,Carpenter Street,Raffles Place,Clarke Quay,58676,Singapore
"46 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Legendary Bak Kut Teh,46,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"42 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Legendary Bak Kut Teh,42,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"40 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,Legendary Bak Kut Teh,40,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"36 South Bridge Road, City Hall, Clarke Quay, Singapore 058670, Singapore",10,building,China Square Central,Legendary Bak Kut Teh,36,South Bridge Road,City Hall,Clarke Quay,58670,Singapore
"Bunc@Radius Hostel, 36 South Bridge Road, Raffles Place, Clarke Quay, Singapore 058670, Singapore",9,others,China Square Central,Bunc@Radius Hostel,36,South Bridge Road,Raffles Place,Clarke Quay,58670,Singapore
"7-Eleven, 21 South Bridge Road, Raffles Place, Clarke Quay, Singapore 058670, Singapore",9,others,China Square Central,7-Eleven,21,South Bridge Road,Raffles Place,Clarke Quay,58670,Singapore
"21 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,China Square Central,7-Eleven,21,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"7-Eleven, 19 South Bridge Road, Raffles Place, Clarke Quay, Singapore 058657, Singapore",9,others,China Square Central,7-Eleven,19,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
"Local eating house, Upper Circular Road, Raffles Place, Clarke Quay, Singapore 058657, Singapore",9,others,China Square Central,Local eating house,19,Upper Circular Road,Raffles Place,Clarke Quay,58657,Singapore
"Actors, the Jam Bar, 13A - 15A South Bridge Road, Raffles Place, Clarke Quay, Singapore 058657, Singapore",9,others,"Actors, the Jam Bar",the Jam Bar,13A-15A,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
"South Bridge Road, Raffles Place, Clarke Quay, Singapore 058657, Singapore",9,road,Actors,the Jam Bar,13A-15A,South Bridge Road,Raffles Place,Clarke Quay,58657,Singapore
"11 South Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",10,building,South Bridge Road,the Jam Bar,11,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Elgin Bridge, North Bridge Road, City Hall, Clarke Quay, Singapore 058716, Singapore",9,road,Actors,Elgin Bridge,11,North Bridge Road,City Hall,Clarke Quay,58716,Singapore
"Singapore River, Read Bridge, City Hall, Clarke Quay, Singapore 179020, Singapore",8,others,Actors,Singapore River,11,Read Bridge,City Hall,Clarke Quay,179020,Singapore
